Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,227.972568,234.936605,227.414695,234.146301,234.146301,177660400
2020-04-03,233.151427,235.531674,228.000456,230.761902,230.761902,135561200
2020-04-06,239.734237,248.251017,230.743275,246.261276,246.261276,188061200
2020-04-07,254.954726,255.717152,246.289206,246.512344,246.512344,201427200
2020-04-08,249.143588,256.619019,246.623895,254.787354,254.787354,153774500
2020-04-09,258.088125,261.45395,256.126304,258.664612,258.664612,189999200
2020-04-13,257.679124,258.023137,252.351476,256.30304,256.30304,114839100
2020-04-14,261.249383,264.894102,256.16349,263.862061,263.862061,134143400
2020-04-15,258.078863,264.001553,256.117014,258.255524,258.255524,121775000
2020-04-16,259.54782,260.36603,256.395884,259.501343,259.501343,131798300
2020-04-17,265.340341,267.125501,262.569589,266.511871,266.511871,146684800
2020-04-20,262.764954,266.651454,261.593451,261.816589,261.816589,100109300
2020-04-21,257.297816,258.515824,252.918535,253.866928,253.866928,126385700
2020-04-22,258.804008,261.267917,257.465124,259.501343,259.501343,92951600
2020-04-23,260.79375,264.001499,259.175943,259.482758,259.482758,104709700
2020-04-24,261.016943,263.778389,258.943525,263.09964,263.09964,85063200
2020-04-27,265.09863,268.027429,264.63374,266.893097,266.893097,77896600
2020-04-28,270.584313,270.937634,265.358959,265.665802,265.665802,105270000
2020-04-29,271.058583,274.17335,270.017235,272.620605,272.620605,118745600
2020-04-30,271.225855,272.722814,268.324949,270.082245,270.082245,122901700
2020-05-01,265.275315,270.24964,261.751444,262.932281,262.932281,125180000
2020-05-04,261.026331,263.964438,259.529399,263.657623,263.657623,80873200
2020-05-05,266.511918,268.938628,263.787643,266.093506,266.093506,79569900
2020-05-06,267.813605,268.204096,263.852737,264.289734,264.289734,73632600
2020-05-07,267.544034,269.431485,266.967576,267.478943,267.478943,75250400
2020-05-08,270.649395,272.378798,269.505756,271.904602,271.904602,76452400
2020-05-11,269.952092,273.355088,269.524402,271.960419,271.960419,79514200
2020-05-12,273.159912,273.578295,266.400397,266.539886,266.539886,95870800
2020-05-13,265.972644,267.023299,259.371205,261.825836,261.825836,144721100
2020-05-14,259.361877,265.089291,253.820374,264.959137,264.959137,121977900
2020-05-15,262.541745,266.223663,261.584074,266.177185,266.177185,111146300
2020-05-18,272.471831,275.912026,272.146431,274.284912,274.284912,119703800
2020-05-19,273.6805,275.409875,271.449035,271.467621,271.467621,95189300
2020-05-20,275.047274,276.95331,274.814829,276.079315,276.079315,85861700
2020-05-21,275.949191,276.767401,273.06687,274.173309,274.173309,78293900
2020-05-22,273.885097,274.870661,272.629889,274.694,274.694,63958200
2020-05-26,280.728277,280.970028,274.712603,278.0784,278.0784,88951400
2020-05-27,280.904889,282.25308,276.023548,282.215881,282.215881,104817400
2020-05-28,283.257243,285.293462,281.016472,281.695221,281.695221,90405200
2020-05-29,281.220975,283.545422,278.440944,282.950378,282.950378,119090800
2020-06-01,282.299618,284.707744,281.778944,284.094086,284.094086,55758300
2020-06-02,285.023819,286.492887,283.675657,286.446381,286.446381,74267200
2020-06-03,288.45474,291.225493,288.175818,290.258514,290.258514,92567600
2020-06-04,289.263588,291.020884,287.376137,289.496033,289.496033,75794400
2020-06-05,294.953859,298.710147,294.888768,296.91568,296.91568,150524700
